Index,Username,Comment
93,@asifhaidarrifat2926,"অডিয়েন্স এর সাইকোলজি বুঝে পিডিএফ বানিয়ে নিজের অথরিটি তৈরি করার যে স্টেপ ছিলো, দ্যাট ওয়াজ আমেজিং।"
94,@daralislambd,"উনার বসার স্টাইল দেখে অনেক কিছুই লিখতে ইচ্ছে করছে, কিন্তু লিখলাম নাহ, হয়তো বয়সের দোষ , সামনে দুইজন সিনিয়র পাওরসোন বসা, তারপরও উনার বসা আর জামার স্টাইল দেখে কারো কি মনে কিছুই আসে নাহ "
95,@boshontodut,অসম্ভব রকমের জিনিয়াস 
96,@clicktechbangla9876,"যারা নেগেটিভ কমেন্ট করতে চেয়েও করতেছেন না, বা যারা এই ভাইকে ভালোভাবেই চিনেন,বা যারা বাশ খেয়েছেন।  তারা লাইক দিন ।"
97,@freelancersajib6803,"ফারদি ভাইয়ের কোর্স এ যা আছে, এর আগে এগুলো পাই নি। অনেক কিছু থেকে আমরা পিছিয়ে। ধন্যবাদ ফারদি ভাইয়া এমন কিছু দেয়ার জন্যে আমাদের। দোয়া করি আরো অনেকদুর এগিয়ে যান। "
98,@farhanmahmud2042,Your new set is just awosome
99,@alifarmanturzo1584,requested to do a podcast with Fahmid Bhai
100,@khaledhasan631,"I have spent an productive hour with this video. I watched this video without skipping any sequence. The story telling was great from Shahrose vai. Currently,, I am studying in CSE but I like this type podcast by which I can spent my leisure time very productively and this video is one of them. Thanks a lot. Doing great guys."
101,@towsefahmed9010,"One of the best postcard in 2cent podcast. 
Love from dhaka ️ thanks for sharing your thoughs and we know you are the greatest mentor in the field.
Difference between you and other marketer?
They teach how it will works and you know whats going on in the audience and what they want️"
102,@imran.2003,"নাফিস ভাই ! দক্ষিণ এশিয়ার সেরা উদ্যোক্তা পুরস্কার প্রাপ্ত, বাংলাদেশের জনপ্রিয় অ্যাপস ডেভেলপার,
মো: জোবায়ের হোসেন ভাই কে আপনাদের পোগ্রামে দেখতে চাই,  প্লিজ প্লিজ প্লিজ "
103,@ksiripon1,"Thank you, Nafeez bhai, to invite him this extra ordinary session "
104,@ElhamBinAhmed,"Well, marketing is a cool thing we agree.  But is it morally fine to sell a stuff at 2000 which should be sold at 1000? Won't it be injustice if we think about the quality?"
105,@edukashion-jn3fz,"things I learnt in a new fashion:
-> you can start with zero capital (creating content, funneling people who want to read it to an ebook)
-> storytelling, capturing ATTENTION and giving them a call to action 
-> it is not only me, it's me & you vs the problem in a partnership"
106,@b.m.sajolmahmud6752,In a word mind blowing. We should take an effective step to make life meaningful.
107,@hasanpranto7689,Bring Numeri Sattar Apar from ACS. He recently generated 12 Crores from a single course.
108,@Dreamwins2001,This podcast is exclusive informative and helpful for everyone..
109,@IamShahRoseFaRdi,"ধন্যবাদ আমাকে এমন একটি সুযোগ দেয়ার জন্য, ইনশাআল্লাহ এই ১ ঘন্টা ১৮ মিনিট কারো বিফলে যাবে না "
110,@ayshasiddika2273,অনেক ধন্যবাদ ফারদি ভাইয়াকে। আজ স্টোরি টেলিং টাইপের এড করে যে মানুষের হৃদয় ছোঁয়া যায় কোন একটা প্রোডাক্টের প্রতি এতটা আকর্ষিত করা যেতে পারে এটার সত্যিকার অর্থে অনুধাবনটা আমার আজকে হল।
111,@abdullahalmehadymeraz4428,"Outstanding confident Hero. আপনি একজন নলেজ শেয়ারিং এন্ড ক্যারিং পারসন ভাইয়া অনেক ধন্যবাদ।

আপনাকে আমরা আরও অনেক ইন ডিটেলসে দেখতে চাই। "
112,@ashanulkabir4651,সত্যিই অসাধারণ। কখন যে সময় শেষ হয়েছে বুঝতেই পারলাম না। আরও শোনার জন্য প্রস্তুত ছিলাম কিন্তু ততক্ষণে শেষ।
113,@lovenature666,Bro I am a digital marketer. I watch your 2 cent podcast regularly but watching today's video I learned a lot more that I never knew. Brother I want more videos like this
114,@abumuhammad9190,"মনে প্রবল জেদ+সাহস নিয়ে কাজ করতে হবে,
ফারদি ভাই উজ্জ্বল দৃষ্টান্ত ..."
115,@parvezwdadm,"সারজ ফারদি ভায়ের কোর্স থেকে আলহামদুলিল্লাহ অনেককিছু শিখতে পেরেছি আলহামদুলিল্লাহ, আর এই ভিডিও থেকে তার কিছু প্লান বুঝতে পারলাম, আর কিছু না হলেও তার রিকমেন্ড করা স্টোরি টেলিং এর বইটা পড়তেই হবে"
116,@shohansarkar2875,চমৎকার আলোচনা। ShahRose Fardi ভাই সত্যিকার অর্থেই একজন অসাধারণ ব্যাক্তি। 
117,@Humanitybywahabchowdhury,"Fahmid Al Nayeem Vaike 2 Cents Podcast এ দেখতে চাই, যিনি হলেন ডিজিটাল মার্কেটিং এর বস- যারা ভাইকে চিনেন,আশা করি সবাই একমত হবেন"
118,@faiaxakib,"Now, that's called a setup and branding "
119,@dynamicmaker8788,"আসসালামু আলাইকুম, একদিন এই পডকাস্টে আমিও আমার সফলতার গল্প বলবো, ইনশাআল্লাহ।"
120,@rdvampire2789,"Thanks for sharing a lot of information.I have learnt a lot of things today.
After a lot of time i have completed watching a long video."
121,@parthacb,This is literally the best podcast on the 2 cents podcast.  You just listen to his words.
